# possible CTRL-X commands from emacs

C-x C-z         suspend-frame
C-x C-c         save-buffers-kill-terminal
C-x C-s         save-buffer

C-x C-f         find-file
C-x C-r         find-file-read-only
C-x C-v         find-alternate-file

BUFFERS
C-x C-b         list-buffers
C-x k           kill-buffer
C-x b           switch-to-buffer
C-x <C-left>    previous-buffer
C-x <C-right>   next-buffer
C-x <left>      previous-buffer
C-x <right>     next-buffer
C-x 4 C-o       display-buffer

C-x C-w         write-file
C-x i           insert-file

C-x C-q         read-only-mode
C-x s           save-some-buffers

TABS
C-x t C-f       find-file-other-tab
C-x t RET       tab-bar-select-tab-by-name
C-x t 0         tab-close
C-x t 1         tab-close-other
C-x t 2         tab-new
C-x t b         switch-to-buffer-other-tab
C-x t d         dired-other-tab
C-x t f         find-file-other-tab
C-x t m         tab-move
C-x t o         tab-next
C-x t r         tab-rename

WINDOWS
C-x +           balance-windows
C-x -           shrink-window-if-larger-than-buffer
C-x 0           delete-window
C-x 1           delete-other-windows
C-x 2           split-window-below
C-x 3           split-window-right
C-x 4           ctl-x-4-prefix
C-x 5           ctl-x-5-prefix
C-x 6           2C-command
C-x ^           enlarge-window
C-x o           other-window
C-x {           shrink-window-horizontally
C-x }           enlarge-window-horizontally
C-x 4 C-f       find-file-other-window
C-x 4 0         kill-buffer-and-window
C-x 4 b         switch-to-buffer-other-window
C-x 4 c         clone-indirect-buffer-other-window
C-x 4 f         find-file-other-window
C-x 4 r         find-file-read-only-other-window
C-x 5 C-f       find-file-other-frame
C-x 5 C-o       display-buffer-other-frame

DISPLAY, SELECTIVE / NAVIGATION
C-x C-o         delete-blank-lines
C-x <           scroll-left
C-x =           what-cursor-position
C-x >           scroll-right
C-x [           backward-page
C-x ]           forward-page

C-x $           set-selective-display
C-x `           next-error
C-x l           count-lines-page

C-x n d         narrow-to-defun
C-x n n         narrow-to-region
C-x n p         narrow-to-page
C-x n w         widen

C-x C-+         text-scale-adjust
C-x C--         text-scale-adjust
C-x C-0         text-scale-adjust
C-x C-=         text-scale-adjust

SEARCHING & FINDING & LOOKUP
C-x 4 .         xref-find-definitions-other-window

POINT & MARK
C-x C-p         mark-page
C-x C-x         exchange-point-and-mark
C-x SPC         rectangle-mark-mode
C-x C-@         pop-global-mark
C-x h           mark-whole-buffer
C-x C-SPC       pop-global-mark
C-x RET X       set-next-selection-coding-system
C-x r C-@       point-to-register
C-x r SPC       point-to-register
C-x r +         increment-register
C-x r M         bookmark-set-no-overwrite
C-x r N         rectangle-number-lines
C-x r o         open-rectangle
C-x r r         copy-rectangle-to-register
C-x r M-w       copy-rectangle-as-kill
C-x r s         copy-to-register
C-x r t         string-rectangle
C-x r x         copy-to-register
C-x r y         yank-rectangle
C-x r C-SPC     point-to-register

BOOKMARKS
C-x r b         bookmark-jump
C-x r l         bookmark-bmenu-list
C-x r m         bookmark-set

EDITING / INPUT
C-x '           expand-abbrev
C-x .           set-fill-prefix
C-x u           undo
C-x z           repeat
C-x DEL         backward-kill-sentence
C-x C-;         comment-line
C-x RET C-\     set-input-method
C-x 8 RET       insert-char

C-x r c         clear-rectangle
C-x r d         delete-rectangle
C-x r g         insert-register
C-x r i         insert-register
C-x r j         jump-to-register
C-x r k         kill-rectangle

C-x a C-a       add-mode-abbrev
C-x a '         expand-abbrev
C-x a +         add-mode-abbrev
C-x a -         inverse-add-global-abbrev
C-x a e         expand-abbrev
C-x a g         add-global-abbrev
C-x a i         Prefix Command
C-x a l         add-mode-abbrev
C-x a n         expand-jump-to-next-slot
C-x a p         expand-jump-to-previous-slo

OTHER FUHCTIONS / APPS

C-x *           calc-dispatch
C-x C-d         list-directory
C-x d           dired
C-x m           compose-mail
C-x 4 a         add-change-log-entry-other-window
C-x 4 d         dired-other-window
C-x 4 m         compose-mail-other-window

META FUNCTIONS
C-x ESC ESC     repeat-complex-command
C-x M-:         repeat-complex-command

